1     10     19     68.8767     4.56879     3.19468
2     40     28     230.483     3.32749     4.04523
3     14     23     59.0233     2.3856     3.03858
4     31     31     186.85     4.50609     4.832
5     23     23     261.97     2.67389     3.72585
6     38     16     148.827     4.7477     3.65345
7     37     17     137.437     1.92512     3.56555
8     44     17     355.7     2.75977     4.85168
9     27     35     30.4633     4.21064     3.68725
10     32     32     87.4133     3.96133     4.94942
11     32     30     354.09     2.49167     3.08931
12     33     16     223.483     4.63715     4.10474
13     39     18     350.7     4.11856     4.00037
14     30     18     147.753     2.77985     2.87904
15     24     29     349.553     2.51485     2.55318
16     14     31     155.997     4.11921     4.31707
17     28     31     301.603     3.55148     4.77111
18     9     20     60.95     2.33828     3.83892
19     36     22     292.287     1.6066     2.86645
20     37     15     334.847     3.47885     4.44594
21     19     29     237.19     3.31436     4.35255
22     34     31     182.923     3.53226     4.73769
23     8     24     42.6333     4.49957     3.96664
24     23     26     213.483     3.21886     4.7425
25     45     32     93.4867     4.30122     3.40716
26     34     28     120.583     3.95556     4.55962
27     34     27     227.947     3.98323     3.88203
28     45     23     197.387     2.50876     3.31454
29     11     29     24.8533     4.43217     3.96985
30     27     34     214.02     1.83764     3.42654
31     21     35     145.68     2.34288     2.7942
32     39     30     90.95     3.12252     2.68868
33     45     26     218.167     2.59143     3.5097
34     21     21     325.773     3.48163     4.16051
35     26     26     105.657     4.79609     4.60082
36     15     16     243.58     2.87609     3.87303
37     30     34     275.897     2.56462     3.99312
38     17     22     332.163     2.70103     3.84625
39     33     15     213.093     2.43057     3.47751
40     13     17     127.29     3.06505     2.91948
41     14     28     214.873     2.97597     3.446
42     24     34     276.823     2.25753     2.89361
43     11     30     180.703     4.14185     2.94099
44     35     16     267.043     1.90194     4.98665
45     13     16     193.093     4.72634     2.51625
46     28     35     142.29     3.79876     4.10039
47     34     24     134.437     2.07018     4.91119
48     26     29     164.533     1.95375     3.40175
49     30     35     268.97     4.43014     3.53648
50     44     20     352.237     4.79566     4.21422
51     31     18     197.24     3.53888     3.77377
52     43     26     219.63     3.57958     3.72372
53     24     21     363.407     1.85345     4.58632
54     27     19     297.14     2.47949     2.9957
55     34     26     40.9267     3.49103     2.9429
56     46     27     212.24     1.86755     2.80541
57     46     18     77.17     3.85131     3.55472
58     41     33     262.653     4.7805     4.78065
59     36     32     177.997     2.42747     3.92354
60     13     19     58.0233     4.5737     2.85607
61     15     16     139.68     3.80464     4.70321
62     16     28     296.53     2.76373     2.54212
63     15     34     98.12     3.34437     2.8737
64     17     30     255.97     4.55747     3.00386
65     14     22     218.337     3.05864     2.72744
66     47     23     220.167     2.56825     4.45418
67     35     28     367.48     1.66994     4.66773
68     11     18     305.383     4.72111     3.35841
69     18     35     243.117     4.35975     4.32035
70     25     33     222.41     4.84362     2.95274
71     26     31     254.58     3.20316     4.45769
72     19     32     136.753     4.44595     4.07331
73     45     32     200.85     1.79321     4.73441
74     38     34     152.29     1.68725     3.79948
75     12     31     209.41     3.55031     4.23688
76     11     15     326.163     3.53044     4.40855
77     32     27     340.237     2.22079     4.34408
78     47     26     98.95     1.5831     2.64351
79     10     21     100.047     2.56259     4.40176
80     19     32     29.39     2.62764     4.29312
81     44     29     359.163     4.71812     2.70844
82     37     25     234.41     1.83764     4.08429
83     46     22     298.823     4.77441     2.81465
84     38     28     304.677     3.68244     3.3874
85     27     19     168.997     4.51196     2.63382
86     18     15     142.68     3.01848     3.23382
87     17     17     214.41     2.33956     3.86631
88     35     22     201.24     3.36915     2.6458
89     12     30     254.433     3.91807     4.23589
90     13     18     348.943     2.39126     4.7795
91     11     21     62.95     3.47009     2.53807
92     27     19     293.677     4.02937     3.37916
93     9     22     144.07     2.27857     4.00235
94     17     35     155.533     4.85762     4.54611
95     21     34     59.0967     4.87268     3.46484
96     17     15     165.923     3.60884     3.81726
97     43     34     195.387     3.39981     3.85563
98     30     25     158.143     2.3919     3.55884
99     17     28     138.217     2.68693     4.9971
100     28     23     73.0233     3.0956     3.1711
101     27     19     262.507     1.98878     2.71523
102     22     17     35.8533     2.48003     4.6057
103     31     27     280.36     3.42256     3.26373
104     30     24     199.703     3.45685     3.19597
105     41     27     200.313     1.59186     3.06017
106     16     21     26.39     4.05544     3.79963
107     17     19     287.14     3.39682     3.73463
108     15     34     240.117     2.57712     4.75349
109     40     32     43.4633     4.53183     4.99153
110     15     27     195.093     4.93762     4.64141
111     23     17     147.68     3.17186     2.78275
112     17     19     120.9     2.69536     4.37407
113     8     33     21.8533     1.8449     2.79481
114     27     17     27     2.26917     4.5819
115     43     18     126.12     4.49284     4.24711
116     45     29     380.943     3.84223     3.31973
117     34     18     248.727     1.71908     4.00304
118     21     23     249.58     3.45375     4.08483
119     37     15     175.533     3.72474     3.49467
120     36     25     330.383     4.27825     4.14647
121     31     34     103.73     1.9311     3.45828
122     30     34     268.97     2.09272     3.18903
123     30     26     348.627     2.79043     3.98366
124     14     34     41.7067     4.43078     4.76669
125     15     18     281.677     4.28402     4.87503
